epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,338.97,0.43132,0.70482,0.879,0.67866,0.62932,0.66849,0.38413,1.55314,1.38938,1.65812,0.0019315,0.0019315,0.0019315
165,341.138,0.45343,0.73425,0.89492,0.68408,0.60982,0.66747,0.38063,1.55304,1.37585,1.65941,0.001882,0.001882,0.001882
166,343.16,0.42611,0.69314,0.89085,0.65264,0.64817,0.67245,0.38737,1.52472,1.37497,1.62468,0.0018325,0.0018325,0.0018325
167,345.207,0.46032,0.71246,0.88661,0.67354,0.63796,0.66751,0.38188,1.53527,1.37996,1.63128,0.001783,0.001783,0.001783
168,347.237,0.49511,0.74195,0.90809,0.69439,0.63001,0.66721,0.37629,1.54185,1.39438,1.62384,0.0017335,0.0017335,0.0017335
169,349.308,0.46156,0.69385,0.9077,0.70648,0.61673,0.67543,0.38655,1.52611,1.37852,1.60833,0.001684,0.001684,0.001684
170,351.319,0.42173,0.66084,0.87181,0.70234,0.63274,0.68352,0.38728,1.52964,1.36407,1.61706,0.0016345,0.0016345,0.0016345
171,353.478,0.44851,0.68869,0.89746,0.70234,0.63274,0.68352,0.38728,1.52964,1.36407,1.61706,0.001585,0.001585,0.001585
172,355.537,0.4269,0.67205,0.87661,0.67667,0.65273,0.68531,0.38968,1.52624,1.36323,1.6094,0.0015355,0.0015355,0.0015355
173,357.524,0.48445,0.70135,0.89611,0.78298,0.5972,0.69359,0.39248,1.52307,1.35882,1.60826,0.001486,0.001486,0.001486
174,359.625,0.39408,0.67704,0.88222,0.71969,0.64678,0.70503,0.39354,1.53245,1.36063,1.62271,0.0014365,0.0014365,0.0014365
175,361.687,0.41052,0.64938,0.85058,0.68664,0.67274,0.70157,0.39462,1.52184,1.3822,1.62294,0.001387,0.001387,0.001387
176,363.668,0.42484,0.64911,0.90125,0.70842,0.6511,0.70362,0.39476,1.52368,1.37902,1.62741,0.0013375,0.0013375,0.0013375
177,365.671,0.43256,0.66772,0.87321,0.70538,0.65362,0.69828,0.39546,1.51397,1.38363,1.6094,0.001288,0.001288,0.001288
178,367.754,0.41959,0.68963,0.88616,0.70395,0.65199,0.68437,0.39004,1.52554,1.37954,1.61594,0.0012385,0.0012385,0.0012385
179,369.913,0.41177,0.66873,0.87527,0.68267,0.65331,0.67956,0.38808,1.5382,1.38499,1.63334,0.001189,0.001189,0.001189
180,372.006,0.42135,0.65751,0.8913,0.68317,0.64022,0.67266,0.38542,1.52981,1.38717,1.62222,0.0011395,0.0011395,0.0011395
181,374.096,0.43073,0.70237,0.8797,0.70353,0.62873,0.67995,0.38598,1.52437,1.39198,1.61744,0.00109,0.00109,0.00109
